,Lopend_gemiddelde,Latitude,Longitude,elevation,industry_3000,industry_5000,nightlight_450,nightlight_4950,nightlight_900,population_3000,population_5000,road_class_1_1000,road_class_1_5000,road_class_2_1000,road_class_2_25,road_class_2_3000,road_class_2_500,road_class_2_5000,road_class_3_100,road_class_3_1000,road_class_3_25,road_class_3_300,road_class_3_3000,road_class_3_50,road_class_3_5000,Rsp,oct,BldDen100,BldDen500,NDVI,trafBuf25,trafBuf50,trafBuf800
57,27.7,52.371693,4.918005,6.684638023,1562316.25,5250076.5,45.11491013,31.43344879,46.47763824,115881.125,282138.2813,2631.205566,85308.94531,5981.883301,0.0,31868.79883,0.0,56117.23828,275.6226196,15658.93359,1.109906793,2563.713379,220916.2031,12.65560818,560204.5,9.517911911,80.56183624,0.850347077,0.713564348,1834.0,0.0,0.0,1637.333333
58,25.5,52.362593,4.905505,6.321534157,537580.6875,5477275.0,51.86033249,34.08430481,54.0931778,128723.5703,304499.875,176.6406097,96918.17969,8705.186523,0.0,34108.44922,4135.725586,62087.09375,11.22430515,24546.80078,0.0,1711.136963,264621.6563,0.0,586711.25,9.488389015,80.73550415,0.998893049,0.890049109,2576.0,0.0,0.0,1387.04478
59,40.6,52.355993,4.927705,4.737050533,1371074.0,4350866.5,37.03470612,30.53577805,36.13566589,108064.1797,259704.3594,731.2966309,92072.82031,1687.706543,0.0,29132.51758,0.0,53533.61719,364.4801025,35460.03125,10.84238911,2876.34082,208290.4375,65.38193512,545427.8125,9.348276138,80.5406723,0.998913077,0.924641912,1808.0,0.0,0.0,0.0
60,28.2,52.360093,4.882305,7.114388943,371552.9063,6163094.5,76.60060883,35.28673553,65.73712921,136335.9844,318523.6875,0.0,87363.51563,2850.786621,0.0,30509.12891,1763.208374,67775.07031,763.2363892,42552.17578,53.54624176,2823.14502,286634.875,183.1834259,581521.5,9.559282303,81.04736328,0.998871191,0.924323186,2058.0,0.0,0.0,580.75
61,29.5,52.365433,4.926115,5.949748039,1050092.25,4826517.0,40.32188797,30.29498482,40.082901,110227.3516,268770.125,154.9322205,90869.16406,5072.05957,88.83283234,26954.91602,2181.352295,52552.42188,253.5538788,28813.42578,1.660116553,2770.456543,205705.9688,19.56279564,546945.0,9.440127373,80.56183624,0.842258536,0.9166129,2481.0,1637.333333,1637.333333,1637.333333
62,29.3,52.340653,4.950805,-0.628902912,2591420.75,3281238.75,22.89684486,26.97616577,23.55565453,82827.89844,202470.7656,11778.44141,124001.5547,0.0,0.0,11799.66699,0.0,44970.5,956.6425781,27545.70898,95.22314453,4342.928223,194565.0625,261.808075,413650.5938,8.912081718,80.04548645,0.750802044,0.773779236,2463.0,0.0,0.0,1304.169031
63,36.9,52.362643,4.939655,5.412464142,1226180.625,4339760.5,32.0931282,27.58370972,30.89853096,93158.17969,235193.8281,106.4768829,94486.69531,2470.887451,0.0,23049.99414,28.46986389,49140.46094,651.5586548,29336.77344,71.21192169,5348.700195,186720.9531,187.1300964,502999.4688,9.36962986,80.34405518,0.998924685,0.960359403,2627.0,0.0,0.0,1637.333333
64,32.1,52.388263,4.924285,4.465199471,2132192.0,5543347.0,25.71224594,24.71197319,25.68817139,99087.19531,236260.1563,5666.498535,62688.16797,1915.00415,0.0,23243.42383,579.6211548,56668.35156,1057.033325,24594.02344,99.26779175,4929.319824,179853.2813,255.8266907,429549.4063,9.654091835,80.54511261,0.95822435,0.510671887,1544.0,0.0,0.0,1637.333333
65,33.3,52.384893,4.913505,4.060952187,2186353.0,6500113.5,30.70295715,27.3480854,30.37960434,110898.1953,267696.8125,5673.851074,87227.44531,4281.482422,0.0,29263.22656,0.0,58661.33594,753.8214722,25426.74219,87.32570648,3404.022461,205910.1406,227.7546692,494668.5,9.638589859,80.68929291,0.0,0.080255698,1182.0,0.0,0.0,1637.333333
66,41.3,52.370543,4.874475,5.757702351,1326464.5,9623770.0,48.41710663,35.97203827,51.93056107,131550.5781,338731.9063,0.0,83589.13281,2569.690918,17.71617699,26604.86719,1148.503662,70181.36719,219.6494904,26211.48633,4.140445709,3317.489502,267071.5938,25.24579048,590849.4375,9.645515442,81.01452637,0.993500417,0.981207915,1493.0,580.75,580.75,580.75
67,45.1,52.365483,4.878365,6.810779095,404596.2813,7894566.5,57.02308273,35.7852478,55.83908844,135397.5469,331010.0313,0.0,89834.07031,3057.273438,22.16846657,25901.45508,1555.075073,69560.45313,259.0604858,29472.30859,32.57452011,2435.905762,282549.0,86.71528625,586029.9375,9.60017395,81.01452637,0.930776497,0.973156708,1131.0,580.75,580.75,580.75
