,Longitude,Latitude,mean_value_NO2,nightlight_450,nightlight_3150,population_1000,population_3000,road_class_2_25,road_class_3_3000,road_class_3_300,trop_mean_filt_2019,BldDen100,NDVI,trafBuf25,trafBuf50
38,10.787135,50.619181,4.403902397,0.060733,0.162095,0.0,1504.770996,0.0,28002.93555,0.0,3.74e-05,0.0,3068.0,0.0,0.0
39,10.790143,51.839382,13.2508646,20.104641,5.701644,6133.98877,19470.86719,0.0,108868.0781,2836.989258,3.87e-05,0.789472256,3232.0,0.0,0.0
40,10.791404,51.497195,15.87188198,26.459705,8.226113,5726.363281,24360.77734,46.73362,121247.2344,2319.085938,4.29e-05,0.983020728,2194.0,0.0,330.5416667
41,10.793683,52.427886,31.49946716,63.469898,27.283394,6126.272949,32426.06055,0.0,174316.7344,3550.787598,5.5e-05,1.000435008,1519.0,0.0,0.0
42,10.81638,52.44081,17.72190906,12.791963,20.012747,2664.500977,27908.61328,0.0,172216.2031,893.93103,5.19e-05,0.327966689,4176.0,0.0,0.0
43,10.867188,51.333333,5.723478722,0.0,0.201031,40.700718,460.540527,0.0,6159.711914,0.0,3.93e-05,0.0,6420.0,0.0,0.0
44,10.887686,49.89833,23.29511969,18.091354,11.137832,8184.483398,49497.48438,0.0,136121.9063,2180.173096,5.18e-05,0.829024291,1958.0,0.0,0.0
45,10.88837,48.376576,25.22286248,21.93749,17.487705,12123.06445,99742.53906,0.0,283658.7813,3433.057861,6.75e-05,0.622567063,2050.0,0.0,0.0
46,10.895029,48.364589,27.53938004,32.37941,17.375845,12625.2207,99156.14063,0.0,271033.8438,3957.470703,6.68e-05,1.000315964,1492.0,0.0,0.0
47,10.896221,48.370237,44.81945324,30.863495,17.580967,12500.95898,101373.8125,0.0,278862.9375,4681.25,6.67e-05,1.000315463,2402.0,0.0,0.0
48,10.903051,48.326013,17.96746568,20.734934,9.153712,8914.53125,45276.77344,0.0,114548.8984,2222.444824,5.8e-05,1.000311113,3684.0,0.0,0.0
49,10.963528,49.605914,17.85833085,6.215135,5.284844,2815.634033,22179.625,0.0,120476.9453,2149.962646,5.8e-05,0.977924349,3546.0,0.0,0.0
50,11.019353,50.984874,33.7717404,17.155064,14.747444,8797.777344,64660.45703,0.0,243303.4531,4492.643066,5.28e-05,1.000306704,2338.0,0.0,0.0
51,11.0248,49.462229,28.24846245,18.557398,16.780367,10570.95117,85779.71875,0.0,209502.9375,2061.806885,7.3e-05,1.00027121,1474.0,0.0,0.0
52,11.02792,49.32273,21.25710578,14.682675,4.960156,7219.12207,28223.47266,0.0,129754.3047,2102.961426,5.53e-05,0.544902375,4570.0,0.0,0.0
53,11.036096,49.440478,42.70352816,21.902529,21.596119,10277.34863,93075.76563,124.975754,238827.6875,4278.701172,7.35e-05,1.000264814,2327.0,431.9166667,431.9166667
54,11.037924,50.979455,19.57261277,24.775791,14.761273,9954.871094,66975.98438,0.0,243841.6719,5979.777832,5.32e-05,1.000297466,2454.0,0.0,0.0
55,11.043386,51.662435,4.325745708,0.0,0.059759,0.0,780.084045,0.0,12821.10156,0.0,3.66e-05,0.0,6667.0,0.0,0.0
56,11.056578,50.993127,13.13134373,8.397532,11.202946,4758.248047,47229.40625,0.0,152264.9375,937.947205,5.13e-05,0.6266265,4132.0,0.0,0.0
57,11.05722,47.47706,10.20870392,7.238806,2.101516,1706.039795,10336.83984,0.0,55546.59766,0.0,2.64e-05,0.294123998,5163.0,0.0,0.0
58,11.057442,51.896982,12.61977115,14.377981,4.550198,5495.947754,23623.28711,0.0,114069.4219,2566.395996,4.33e-05,0.877800088,3043.0,0.0,0.0
59,11.088444,49.44591,33.61028865,36.089542,23.814522,11727.04004,96772.77344,0.0,316255.2813,4716.907227,7.12e-05,1.000237054,1047.0,0.0,0.0
60,11.134593,50.499955,5.443343523,3.625542,1.131743,1515.437012,5604.919434,0.0,35269.75391,0.0,3.62e-05,0.0,4302.0,0.0,0.0
61,11.16705,52.95702,9.79247932,1.813128,0.840567,677.635315,5203.526855,0.0,57052.98828,0.0,4.21e-05,0.762260066,5121.0,0.0,0.0
62,11.172327,52.593136,6.297404233,0.0,0.038262,2.685277,233.082672,0.0,11146.38574,0.0,4.11e-05,0.0,6113.0,0.0,0.0
63,11.220172,47.968753,7.1258552,1.281157,0.330611,221.538498,2459.800293,0.0,28691.95703,0.0,4.33e-05,0.426640191,4239.0,0.0,0.0
